// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D4CB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
04221														-3.201327	-9.354774	-1.660571	0.999364	0.034840	0.007632	-0.034594	0.998942	-0.030306	-0.008680	0.030023	0.999512						
04222														-3.455025	-9.347195	-1.498327	0.999568	0.027700	0.009819	-0.027392	0.999169	-0.030168	-0.010647	0.029886	0.999497						
04223														-3.620806	-9.179450	-1.695856	0.999610	0.025326	0.011807	-0.024968	0.999253	-0.029489	-0.012545	0.029182	0.999495						
04224														-3.076425	-8.976810	-1.672394	0.999612	0.024514	0.013210	-0.024133	0.999310	-0.028246	-0.013893	0.027916	0.999514						
04225														-2.843652	-8.953057	-1.607862	0.999650	0.022549	0.013802	-0.022148	0.999348	-0.028524	-0.014436	0.028209	0.999498						
04226														-3.355320	-9.064380	-1.750374	0.999669	0.021239	0.014549	-0.020800	0.999344	-0.029656	-0.015169	0.029344	0.999454						
04227														-3.183923	-9.072416	-1.818993	0.999630	0.022831	0.014778	-0.022361	0.999261	-0.031248	-0.015481	0.030906	0.999402						
04228														-2.752364	-9.085807	-1.616355	0.999574	0.024980	0.015081	-0.024464	0.999141	-0.033462	-0.015904	0.033079	0.999326						
04229														-2.654883	-9.098528	-1.664495	0.999523	0.026776	0.015396	-0.026195	0.998980	-0.036790	-0.016365	0.036369	0.999204						
04230														-3.148724	-9.327947	-1.730055	0.999526	0.025839	0.016742	-0.025133	0.998840	-0.041062	-0.017783	0.040622	0.999016						
04231														-3.090246	-9.304471	-1.496893	0.999471	0.026364	0.019040	-0.025481	0.998654	-0.045183	-0.020206	0.044674	0.998797						
04232														-2.663483	-9.330282	-1.593735	0.999436	0.026169	0.021023	-0.025128	0.998514	-0.048349	-0.022257	0.047794	0.998609						
04233														-2.937827	-9.359711	-1.646547	0.999533	0.019915	0.023170	-0.018744	0.998587	-0.049718	-0.024127	0.049261	0.998495						
04234														-3.785670	-9.075594	-1.962295	0.999591	0.013098	0.025435	-0.011844	0.998735	-0.048865	-0.026043	0.048543	0.998481						
04235														-3.790991	-8.882050	-2.377315	0.999623	0.011682	0.024849	-0.010472	0.998778	-0.048295	-0.025383	0.048017	0.998524						
04236														-2.923837	-9.143106	-1.981021	0.999663	0.012175	0.022944	-0.011076	0.998813	-0.047438	-0.023494	0.047167	0.998611						
04237														-3.008468	-9.129237	-1.947635	0.999680	0.013732	0.021224	-0.012716	0.998800	-0.047291	-0.021848	0.047006	0.998656						
04238														-3.304454	-9.060025	-1.826726	0.999683	0.016149	0.019339	-0.015226	0.998780	-0.046968	-0.020074	0.046659	0.998709						
04239														-3.403499	-8.657721	-2.118711	0.999757	0.015173	0.015992	-0.014394	0.998755	-0.047761	-0.016697	0.047519	0.998731						
04240														-3.252412	-8.870398	-2.504886	0.999781	0.017533	0.011423	-0.016926	0.998548	-0.051150	-0.012303	0.050946	0.998626						
04241														-2.978833	-8.873753	-1.988686	0.999610	0.026887	0.007566	-0.026444	0.998211	-0.053615	-0.008994	0.053394	0.998533						
04242														-2.926614	-8.960493	-2.170491	0.999375	0.035148	0.003880	-0.034872	0.997782	-0.056697	-0.005864	0.056526	0.998384						
04243														-2.984261	-9.149295	-1.937767	0.999009	0.044508	0.000867	-0.044374	0.997176	-0.060586	-0.003561	0.060487	0.998163						
04244														-3.173249	-9.017502	-1.834578	0.998474	0.055226	-0.000785	-0.055163	0.996419	-0.064075	-0.002756	0.064021	0.997945						
04245														-2.854743	-9.036537	-1.924924	0.997909	0.064593	-0.002316	-0.064600	0.995562	-0.068429	-0.002115	0.068435	0.997653						
