// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D4BE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
04221														0.742304	-9.673639	-1.599454	0.999935	0.005240	-0.010104	-0.005244	0.999986	-0.000288	0.010102	0.000341	0.999949						
04222														0.700523	-9.655384	-1.537216	0.999941	0.005188	-0.009523	-0.005190	0.999987	-0.000137	0.009522	0.000187	0.999955						
04223														0.672235	-9.636516	-1.561716	0.999945	0.005293	-0.009001	-0.005293	0.999986	0.000018	0.009001	0.000030	0.999959						
04224														0.696969	-9.651494	-1.587320	0.999949	0.005434	-0.008517	-0.005432	0.999985	0.000203	0.008518	-0.000157	0.999964						
04225														0.704608	-9.629792	-1.585049	0.999955	0.005072	-0.007984	-0.005068	0.999987	0.000506	0.007986	-0.000466	0.999968						
04226														0.707999	-9.620463	-1.592941	0.999960	0.004836	-0.007463	-0.004830	0.999988	0.000812	0.007467	-0.000776	0.999972						
04227														0.677592	-9.630253	-1.547005	0.999965	0.004708	-0.006886	-0.004700	0.999988	0.001181	0.006891	-0.001149	0.999976						
04228														0.690270	-9.636634	-1.513540	0.999970	0.004479	-0.006305	-0.004469	0.999989	0.001507	0.006312	-0.001479	0.999979						
04229														0.801950	-9.626129	-1.601832	0.999977	0.003723	-0.005698	-0.003712	0.999991	0.001876	0.005705	-0.001854	0.999982						
04230														0.640242	-9.606111	-1.518470	0.999983	0.002734	-0.005088	-0.002723	0.999994	0.002231	0.005094	-0.002217	0.999985						
04231														0.687163	-9.642973	-1.499433	0.999987	0.002492	-0.004459	-0.002481	0.999994	0.002530	0.004465	-0.002519	0.999987						
04232														0.769425	-9.598786	-1.543406	0.999991	0.002022	-0.003858	-0.002011	0.999994	0.002802	0.003864	-0.002794	0.999989						
04233														0.810734	-9.555109	-1.535469	0.999993	0.001430	-0.003340	-0.001420	0.999995	0.002966	0.003344	-0.002961	0.999990						
04234														0.805085	-9.591719	-1.586255	0.999995	0.001121	-0.002984	-0.001112	0.999995	0.003103	0.002987	-0.003100	0.999991						
04235														0.778044	-9.634978	-1.629894	0.999996	0.000947	-0.002791	-0.000937	0.999994	0.003432	0.002794	-0.003429	0.999990						
04236														0.788581	-9.617160	-1.536618	0.999996	0.000949	-0.002629	-0.000939	0.999992	0.003759	0.002633	-0.003757	0.999989						
04237														0.747611	-9.649036	-1.472383	0.999997	0.000637	-0.002534	-0.000627	0.999991	0.004095	0.002537	-0.004094	0.999988						
04238														0.670765	-9.640952	-1.405137	0.999997	0.000861	-0.002446	-0.000851	0.999991	0.004230	0.002449	-0.004228	0.999988						
04239														0.700948	-9.643467	-1.449876	0.999996	0.001614	-0.002389	-0.001604	0.999990	0.004199	0.002396	-0.004195	0.999988						
04240														0.751921	-9.586865	-1.492336	0.999994	0.002449	-0.002294	-0.002440	0.999989	0.003975	0.002304	-0.003970	0.999989						
04241														0.774740	-9.641545	-1.512329	0.999993	0.003129	-0.002182	-0.003121	0.999989	0.003631	0.002194	-0.003624	0.999991						
04242														0.826778	-9.596630	-1.596438	0.999992	0.003521	-0.002046	-0.003514	0.999988	0.003312	0.002057	-0.003305	0.999992						
04243														0.762250	-9.627573	-1.581752	0.999993	0.003292	-0.001913	-0.003286	0.999990	0.003091	0.001923	-0.003085	0.999993						
04244														0.751794	-9.649141	-1.536872	0.999992	0.003452	-0.001844	-0.003447	0.999990	0.002959	0.001854	-0.002953	0.999994						
04245														0.776048	-9.639452	-1.515002	0.999994	0.003122	-0.001796	-0.003117	0.999991	0.002819	0.001805	-0.002814	0.999994						
04246														0.693151	-9.655477	-1.492293	0.999992	0.003633	-0.001849	-0.003628	0.999990	0.002623	0.001859	-0.002617	0.999995						
04247														0.830047	-9.631850	-1.550063	0.999989	0.004169	-0.001943	-0.004165	0.999988	0.002465	0.001953	-0.002457	0.999995						
04248														0.741287	-9.638858	-1.517839	0.999989	0.004320	-0.002072	-0.004316	0.999988	0.002364	0.002082	-0.002355	0.999995						
04249														0.761760	-9.613333	-1.575128	0.999988	0.004492	-0.002183	-0.004487	0.999987	0.002270	0.002193	-0.002260	0.999995						
04250														0.709134	-9.650779	-1.566011	0.999989	0.004098	-0.002209	-0.004093	0.999989	0.002258	0.002218	-0.002249	0.999995						
04251														0.722509	-9.666118	-1.554527	0.999989	0.004123	-0.002185	-0.004118	0.999989	0.002322	0.002195	-0.002313	0.999995						
04252														0.745320	-9.623300	-1.471303	0.999990	0.003972	-0.002140	-0.003967	0.999989	0.002350	0.002149	-0.002342	0.999995						
04253														0.728471	-9.638765	-1.465683	0.999989	0.004181	-0.002144	-0.004176	0.999989	0.002252	0.002153	-0.002243	0.999995						
04254														0.759597	-9.640806	-1.521884	0.999987	0.004563	-0.002129	-0.004559	0.999987	0.002096	0.002138	-0.002087	0.999996						
04255														0.739708	-9.606435	-1.537763	0.999987	0.004656	-0.002080	-0.004653	0.999987	0.001845	0.002089	-0.001835	0.999996						
04256														0.756890	-9.611643	-1.568159	0.999985	0.004971	-0.002081	-0.004968	0.999986	0.001536	0.002089	-0.001525	0.999997						
04257														0.732152	-9.639209	-1.556650	0.999985	0.005153	-0.002095	-0.005150	0.999986	0.001246	0.002101	-0.001236	0.999997						
04258														0.756551	-9.631973	-1.595177	0.999981	0.005792	-0.002120	-0.005789	0.999983	0.001049	0.002126	-0.001037	0.999997						
04259														0.701956	-9.607597	-1.576884	0.999979	0.006123	-0.002184	-0.006121	0.999981	0.000937	0.002189	-0.000924	0.999997						
04260														0.723804	-9.598120	-1.545669	0.999976	0.006584	-0.002167	-0.006583	0.999978	0.000729	0.002172	-0.000714	0.999997						
04261														0.798897	-9.679599	-1.634894	0.999974	0.006925	-0.002126	-0.006923	0.999976	0.000701	0.002131	-0.000686	0.999997						
04262														0.785838	-9.599713	-1.597083	0.999974	0.006860	-0.002039	-0.006859	0.999976	0.000815	0.002044	-0.000801	0.999998						
04263														0.723235	-9.619247	-1.558182	0.999975	0.006761	-0.002014	-0.006759	0.999977	0.000966	0.002020	-0.000952	0.999998						
04264														0.767735	-9.625072	-1.560075	0.999976	0.006581	-0.001948	-0.006579	0.999978	0.001088	0.001955	-0.001075	0.999998						
04265														0.746914	-9.622220	-1.562927	0.999978	0.006326	-0.001855	-0.006324	0.999979	0.001309	0.001863	-0.001297	0.999997						
04266														0.769380	-9.637312	-1.597386	0.999980	0.005986	-0.001801	-0.005983	0.999981	0.001595	0.001810	-0.001584	0.999997						
04267														0.753913	-9.691072	-1.519181	0.999983	0.005552	-0.001703	-0.005549	0.999983	0.001969	0.001714	-0.001960	0.999997						
04268														0.689041	-9.658671	-1.448572	0.999984	0.005437	-0.001625	-0.005433	0.999983	0.002256	0.001638	-0.002247	0.999996						
04269														0.702511	-9.581561	-1.434684	0.999983	0.005682	-0.001520	-0.005678	0.999981	0.002331	0.001533	-0.002323	0.999996						
04270														0.739893	-9.583267	-1.518640	0.999982	0.005886	-0.001367	-0.005883	0.999980	0.002219	0.001380	-0.002211	0.999997						
04271														0.752196	-9.665417	-1.598536	0.999978	0.006451	-0.001213	-0.006448	0.999977	0.002192	0.001227	-0.002184	0.999997						
04272														0.785762	-9.664876	-1.603400	0.999979	0.006451	-0.001009	-0.006449	0.999977	0.002290	0.001024	-0.002284	0.999997						
04273														0.788257	-9.621929	-1.572211	0.999981	0.006186	-0.000785	-0.006184	0.999978	0.002542	0.000801	-0.002537	0.999996						
04274														0.819739	-9.600429	-1.545219	0.999984	0.005583	-0.000632	-0.005581	0.999980	0.002822	0.000648	-0.002819	0.999996						
04275														0.816617	-9.643842	-1.554331	0.999987	0.004972	-0.000550	-0.004970	0.999983	0.003134	0.000566	-0.003132	0.999995						
04276														0.758172	-9.653932	-1.552779	0.999991	0.004242	-0.000382	-0.004241	0.999985	0.003454	0.000397	-0.003453	0.999994						
04277														0.737782	-9.629856	-1.534125	0.999995	0.003110	-0.000184	-0.003109	0.999988	0.003822	0.000196	-0.003821	0.999993						
04278														0.733619	-9.615808	-1.413783	0.999998	0.002124	-0.000034	-0.002124	0.999989	0.004085	0.000042	-0.004085	0.999992						
04279														0.834690	-9.602609	-1.414516	0.999999	0.001655	-0.000011	-0.001655	0.999990	0.004195	0.000018	-0.004195	0.999991						
04280														0.719592	-9.640717	-1.406721	0.999998	0.002113	-0.000152	-0.002112	0.999990	0.004064	0.000160	-0.004064	0.999992						
04281														0.819423	-9.663187	-1.520355	0.999996	0.002757	-0.000346	-0.002756	0.999989	0.003844	0.000357	-0.003843	0.999993						
04282														0.763977	-9.619948	-1.542229	0.999996	0.002905	-0.000526	-0.002904	0.999989	0.003667	0.000536	-0.003666	0.999993						
04283														0.767838	-9.650228	-1.573770	0.999996	0.002926	-0.000618	-0.002924	0.999989	0.003542	0.000628	-0.003541	0.999994						
04284														0.743155	-9.585479	-1.568823	0.999997	0.002493	-0.000706	-0.002490	0.999991	0.003545	0.000715	-0.003543	0.999993						
04285														0.683202	-9.599441	-1.451914	0.999997	0.002407	-0.000799	-0.002404	0.999991	0.003458	0.000807	-0.003456	0.999994						
04286														0.782876	-9.647736	-1.456660	0.999995	0.003088	-0.000951	-0.003085	0.999990	0.003230	0.000961	-0.003228	0.999994						
04287														0.771868	-9.634112	-1.550687	0.999992	0.003740	-0.001179	-0.003737	0.999989	0.002980	0.001190	-0.002975	0.999995						
04288														0.783512	-9.663724	-1.630841	0.999990	0.004369	-0.001371	-0.004365	0.999986	0.002833	0.001384	-0.002827	0.999995						
04289														0.768071	-9.624213	-1.574892	0.999990	0.004133	-0.001491	-0.004128	0.999987	0.002837	0.001503	-0.002830	0.999995						
04290														0.726912	-9.603577	-1.513304	0.999990	0.004062	-0.001652	-0.004058	0.999988	0.002806	0.001663	-0.002799	0.999995						
04291														0.778947	-9.651546	-1.604377	0.999990	0.004139	-0.001842	-0.004134	0.999987	0.002850	0.001853	-0.002842	0.999994						
04292														0.742672	-9.630733	-1.570490	0.999991	0.003877	-0.001985	-0.003871	0.999988	0.003016	0.001997	-0.003009	0.999993						
04293														0.785954	-9.658280	-1.591381	0.999991	0.003637	-0.002117	-0.003630	0.999988	0.003285	0.002129	-0.003277	0.999992						
04294														0.711768	-9.659887	-1.532786	0.999993	0.003052	-0.002202	-0.003044	0.999989	0.003666	0.002213	-0.003659	0.999991						
04295														0.720361	-9.623782	-1.478653	0.999995	0.002419	-0.002206	-0.002410	0.999989	0.003969	0.002216	-0.003963	0.999990						
04296														0.699473	-9.609060	-1.450652	0.999996	0.001846	-0.002215	-0.001836	0.999989	0.004224	0.002222	-0.004220	0.999989						
04297														0.735538	-9.620665	-1.512712	0.999996	0.001766	-0.002257	-0.001756	0.999989	0.004355	0.002265	-0.004351	0.999988						
04298														0.742639	-9.641742	-1.570423	0.999996	0.001534	-0.002258	-0.001524	0.999988	0.004573	0.002265	-0.004569	0.999987						
04299														0.717602	-9.679537	-1.534491	0.999997	0.001241	-0.002208	-0.001231	0.999988	0.004807	0.002214	-0.004804	0.999986						
04300														0.754186	-9.636384	-1.525754	0.999997	0.000822	-0.002121	-0.000811	0.999987	0.005091	0.002125	-0.005089	0.999985						
04301														0.712453	-9.628049	-1.482051	0.999998	0.000588	-0.002038	-0.000577	0.999986	0.005349	0.002042	-0.005348	0.999984						
04302														0.728142	-9.610089	-1.428541	0.999998	0.000605	-0.001999	-0.000594	0.999985	0.005455	0.002002	-0.005454	0.999983						
04303														0.723410	-9.634309	-1.469892	0.999998	0.000817	-0.001947	-0.000806	0.999985	0.005454	0.001952	-0.005453	0.999983						
04304														0.725557	-9.633971	-1.480768	0.999998	0.001075	-0.001872	-0.001065	0.999985	0.005388	0.001877	-0.005386	0.999984						
04305														0.745304	-9.639334	-1.518722	0.999997	0.001520	-0.001792	-0.001511	0.999985	0.005295	0.001800	-0.005292	0.999984						
04306														0.759835	-9.614120	-1.527612	0.999997	0.001610	-0.001660	-0.001601	0.999985	0.005205	0.001668	-0.005202	0.999985						
04307														0.767294	-9.622786	-1.548127	0.999997	0.001733	-0.001565	-0.001725	0.999985	0.005123	0.001574	-0.005120	0.999986						
04308														0.747314	-9.671888	-1.573148	0.999997	0.002002	-0.001507	-0.001994	0.999984	0.005241	0.001517	-0.005238	0.999985						
04309														0.761978	-9.641964	-1.480622	0.999997	0.002103	-0.001442	-0.002095	0.999983	0.005353	0.001453	-0.005350	0.999985						
04310														0.723706	-9.633200	-1.457629	0.999996	0.002352	-0.001351	-0.002344	0.999982	0.005480	0.001364	-0.005476	0.999984						
04311														0.748931	-9.604975	-1.472960	0.999996	0.002511	-0.001260	-0.002504	0.999982	0.005479	0.001274	-0.005476	0.999984						
04312														0.769647	-9.629228	-1.480827	0.999996	0.002731	-0.001179	-0.002725	0.999982	0.005402	0.001194	-0.005399	0.999985						
04313														0.744807	-9.668981	-1.498185	0.999996	0.002664	-0.001106	-0.002659	0.999983	0.005206	0.001120	-0.005203	0.999986						
04314														0.759309	-9.612737	-1.507513	0.999996	0.002704	-0.000927	-0.002699	0.999984	0.005055	0.000941	-0.005052	0.999987						
04315														0.758598	-9.612328	-1.500814	0.999997	0.002457	-0.000835	-0.002453	0.999985	0.004795	0.000847	-0.004793	0.999988						
04316														0.768254	-9.682381	-1.533077	0.999997	0.002452	-0.000700	-0.002448	0.999986	0.004600	0.000711	-0.004598	0.999989						
04317														0.769307	-9.641527	-1.554758	0.999997	0.002184	-0.000611	-0.002182	0.999988	0.004491	0.000621	-0.004489	0.999990						
04318														0.720267	-9.602378	-1.476212	0.999998	0.002090	-0.000521	-0.002087	0.999988	0.004342	0.000530	-0.004341	0.999990						
04319														0.730727	-9.651022	-1.497645	0.999997	0.002482	-0.000459	-0.002480	0.999988	0.004131	0.000469	-0.004130	0.999991						
04320														0.743317	-9.656657	-1.498431	0.999996	0.002832	-0.000394	-0.002831	0.999988	0.003927	0.000405	-0.003926	0.999992						
04321														0.773296	-9.644130	-1.456687	0.999996	0.002796	-0.000261	-0.002795	0.999990	0.003596	0.000271	-0.003595	0.999993						
04322														0.808199	-9.671408	-1.425999	0.999997	0.002592	-0.000228	-0.002591	0.999992	0.003097	0.000236	-0.003097	0.999995						
04323														0.859534	-9.561572	-1.460953	0.999997	0.002268	-0.000319	-0.002267	0.999994	0.002430	0.000324	-0.002429	0.999997						
04324														0.753874	-9.492914	-1.487397	0.999997	0.002269	-0.000580	-0.002268	0.999996	0.001539	0.000584	-0.001537	0.999999						
04325														0.803570	-9.534603	-1.479999	0.999996	0.002508	-0.000997	-0.002507	0.999997	0.000204	0.000997	-0.000202	0.999999						
04326														0.799044	-9.471756	-1.276887	0.999997	0.001709	-0.001459	-0.001712	0.999997	-0.001736	0.001456	0.001738	0.999997						
04327														0.626673	-9.611882	-1.165652	0.999995	0.002349	-0.002243	-0.002359	0.999987	-0.004555	0.002232	0.004560	0.999987						
04328														0.795921	-9.815163	-1.701744	0.999980	0.005385	-0.003379	-0.005409	0.999959	-0.007195	0.003340	0.007213	0.999968						
04329														0.980347	-9.572102	-1.765122	0.999953	0.008306	-0.004970	-0.008354	0.999919	-0.009607	0.004890	0.009648	0.999942						
04330														0.926118	-9.474494	-1.654638	0.999921	0.010459	-0.006978	-0.010542	0.999873	-0.011954	0.006852	0.012027	0.999904						
04331														0.543304	-9.770083	-1.453036	0.999841	0.015029	-0.009627	-0.015165	0.999784	-0.014238	0.009410	0.014382	0.999852						
04332														0.864566	-9.460727	-1.992393	0.999721	0.020271	-0.012108	-0.020470	0.999654	-0.016533	0.011769	0.016777	0.999790						
04333														1.707284	-8.466799	-3.573443	0.999608	0.024767	-0.013086	-0.025067	0.999416	-0.023214	0.012503	0.023533	0.999645						
04334														0.454993	-9.679150	-2.790363	0.999479	0.028697	-0.014783	-0.029142	0.999101	-0.030783	0.013886	0.031198	0.999417						
04335														1.135339	-9.979600	-2.408966	0.999325	0.032556	-0.016990	-0.033133	0.998843	-0.034868	0.015835	0.035407	0.999247						
04336														0.502135	-9.792642	-2.185537	0.999363	0.030147	-0.019108	-0.030828	0.998863	-0.036366	0.017990	0.036932	0.999156						
04337														0.359577	-9.748627	-1.695177	0.999327	0.029780	-0.021422	-0.030584	0.998800	-0.038241	0.020258	0.038870	0.999039						
04338														0.366746	-9.716683	-1.574838	0.999288	0.029637	-0.023366	-0.030580	0.998688	-0.041084	0.022118	0.041769	0.998882						
04339														0.343380	-9.317080	-2.176319	0.999250	0.029723	-0.024822	-0.030849	0.998452	-0.046281	0.023408	0.047012	0.998620						
