// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D4CC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
04221														1.150027	-4.840036	8.426235	0.999988	0.000656	-0.004852	-0.000668	0.999997	-0.002503	0.004851	0.002506	0.999985						
04222														1.165470	-4.808901	8.449863	0.999988	0.000689	-0.004822	-0.000702	0.999997	-0.002528	0.004820	0.002532	0.999985						
04223														1.176629	-4.825159	8.436442	0.999988	0.000760	-0.004864	-0.000773	0.999996	-0.002698	0.004862	0.002702	0.999985						
04224														1.140639	-4.823140	8.439780	0.999988	0.000781	-0.004850	-0.000794	0.999996	-0.002851	0.004848	0.002855	0.999984						
04225														1.189450	-4.796296	8.437679	0.999987	0.000864	-0.004966	-0.000879	0.999995	-0.003105	0.004963	0.003109	0.999983						
04226														1.133416	-4.847793	8.440572	0.999987	0.000937	-0.005071	-0.000954	0.999994	-0.003341	0.005068	0.003345	0.999982						
04227														1.171284	-4.847896	8.427543	0.999986	0.000980	-0.005130	-0.000998	0.999993	-0.003529	0.005127	0.003534	0.999981						
04228														1.158102	-4.834664	8.450046	0.999986	0.001043	-0.005260	-0.001062	0.999993	-0.003668	0.005256	0.003673	0.999979						
04229														1.165882	-4.809221	8.439104	0.999985	0.001082	-0.005361	-0.001103	0.999992	-0.003876	0.005357	0.003882	0.999978						
04230														1.165873	-4.837495	8.409009	0.999984	0.001125	-0.005488	-0.001148	0.999991	-0.004145	0.005484	0.004151	0.999976						
04231														1.170927	-4.835800	8.473660	0.999983	0.001196	-0.005748	-0.001221	0.999990	-0.004383	0.005743	0.004390	0.999974						
04232														1.112085	-4.888417	8.454774	0.999982	0.001231	-0.005842	-0.001258	0.999988	-0.004659	0.005836	0.004666	0.999972						
04233														1.146059	-4.846906	8.422826	0.999982	0.001238	-0.005793	-0.001265	0.999988	-0.004781	0.005787	0.004788	0.999972						
04234														1.102103	-4.867939	8.406487	0.999983	0.001219	-0.005720	-0.001247	0.999988	-0.004781	0.005714	0.004788	0.999972						
04235														1.158073	-4.848216	8.414073	0.999984	0.001158	-0.005553	-0.001184	0.999988	-0.004710	0.005547	0.004717	0.999973						
04236														1.156028	-4.851848	8.433343	0.999985	0.001148	-0.005438	-0.001173	0.999989	-0.004522	0.005432	0.004528	0.999975						
04237														1.144233	-4.849546	8.431729	0.999985	0.001102	-0.005300	-0.001125	0.999990	-0.004309	0.005295	0.004315	0.999977						
04238														1.163230	-4.840135	8.418013	0.999986	0.001059	-0.005182	-0.001080	0.999991	-0.004093	0.005178	0.004099	0.999978						
04239														1.183042	-4.803329	8.455171	0.999986	0.001106	-0.005174	-0.001128	0.999991	-0.004079	0.005170	0.004085	0.999978						
04240														1.136888	-4.827277	8.448076	0.999986	0.001117	-0.005119	-0.001138	0.999991	-0.004186	0.005115	0.004191	0.999978						
04241														1.154100	-4.852820	8.443219	0.999986	0.001134	-0.005084	-0.001156	0.999990	-0.004289	0.005079	0.004295	0.999978						
04242														1.165133	-4.823649	8.423404	0.999987	0.001132	-0.005066	-0.001155	0.999990	-0.004364	0.005061	0.004370	0.999978						
04243														1.176252	-4.857700	8.446103	0.999987	0.001155	-0.005063	-0.001177	0.999990	-0.004423	0.005058	0.004429	0.999977						
04244														1.138642	-4.841455	8.454044	0.999986	0.001163	-0.005127	-0.001185	0.999990	-0.004405	0.005122	0.004411	0.999977						
04245														1.172986	-4.843524	8.429441	0.999986	0.001169	-0.005112	-0.001192	0.999990	-0.004410	0.005107	0.004416	0.999977						
04246														1.143492	-4.833150	8.437074	0.999987	0.001160	-0.005051	-0.001182	0.999990	-0.004355	0.005046	0.004360	0.999978						
04247														1.176447	-4.837683	8.421782	0.999987	0.001135	-0.005050	-0.001156	0.999990	-0.004292	0.005045	0.004298	0.999978						
04248														1.152232	-4.836349	8.438217	0.999987	0.001105	-0.005026	-0.001126	0.999990	-0.004254	0.005022	0.004259	0.999978						
04249														1.157808	-4.841919	8.417009	0.999986	0.001108	-0.005083	-0.001129	0.999991	-0.004135	0.005078	0.004140	0.999979						
04250														1.151379	-4.819565	8.444138	0.999987	0.001079	-0.005044	-0.001100	0.999991	-0.004052	0.005039	0.004058	0.999979						
04251														1.172342	-4.840131	8.452536	0.999987	0.001090	-0.005067	-0.001111	0.999991	-0.004099	0.005063	0.004104	0.999979						
04252														1.163339	-4.818235	8.426371	0.999986	0.001089	-0.005099	-0.001111	0.999991	-0.004173	0.005095	0.004178	0.999978						
04253														1.151501	-4.833798	8.450309	0.999986	0.001125	-0.005169	-0.001147	0.999990	-0.004314	0.005164	0.004320	0.999977						
04254														1.152389	-4.862970	8.451638	0.999986	0.001149	-0.005213	-0.001172	0.999990	-0.004395	0.005208	0.004401	0.999977						
04255														1.166507	-4.829700	8.444605	0.999985	0.001160	-0.005308	-0.001183	0.999989	-0.004438	0.005302	0.004444	0.999976						
04256														1.132637	-4.851188	8.409905	0.999985	0.001194	-0.005360	-0.001218	0.999989	-0.004450	0.005354	0.004456	0.999976						
04257														1.142748	-4.856907	8.462789	0.999985	0.001209	-0.005337	-0.001232	0.999990	-0.004340	0.005331	0.004347	0.999976						
04258														1.155536	-4.823537	8.434571	0.999985	0.001200	-0.005329	-0.001223	0.999990	-0.004321	0.005323	0.004327	0.999976						
04259														1.159185	-4.848651	8.427333	0.999985	0.001177	-0.005283	-0.001200	0.999990	-0.004307	0.005278	0.004313	0.999977						
04260														1.149068	-4.830501	8.441641	0.999985	0.001211	-0.005261	-0.001233	0.999990	-0.004186	0.005256	0.004192	0.999977						
04261														1.149599	-4.844641	8.447829	0.999986	0.001186	-0.005170	-0.001207	0.999991	-0.004101	0.005165	0.004107	0.999978						
04262														1.162834	-4.826868	8.424957	0.999987	0.001141	-0.005043	-0.001160	0.999992	-0.003950	0.005038	0.003956	0.999979						
04263														1.166428	-4.823778	8.447633	0.999987	0.001122	-0.004957	-0.001141	0.999992	-0.003880	0.004953	0.003886	0.999980						
04264														1.155956	-4.836012	8.441376	0.999988	0.001063	-0.004823	-0.001082	0.999992	-0.003845	0.004818	0.003850	0.999981						
04265														1.167126	-4.837767	8.432491	0.999989	0.001030	-0.004679	-0.001047	0.999992	-0.003771	0.004675	0.003776	0.999982						
04266														1.161610	-4.831495	8.464580	0.999989	0.001029	-0.004552	-0.001046	0.999993	-0.003669	0.004548	0.003674	0.999983						
04267														1.168599	-4.821363	8.437835	0.999989	0.001009	-0.004511	-0.001026	0.999993	-0.003705	0.004507	0.003709	0.999983						
04268														1.169357	-4.820636	8.438145	0.999989	0.001023	-0.004482	-0.001039	0.999992	-0.003748	0.004478	0.003752	0.999983						
04269														1.155709	-4.850618	8.415172	0.999990	0.001018	-0.004421	-0.001034	0.999993	-0.003726	0.004417	0.003731	0.999983						
04270														1.145952	-4.832587	8.429339	0.999990	0.001004	-0.004330	-0.001020	0.999993	-0.003641	0.004326	0.003646	0.999984						
04271														1.170423	-4.833423	8.423663	0.999991	0.001010	-0.004175	-0.001025	0.999993	-0.003550	0.004171	0.003554	0.999985						
04272														1.174361	-4.814669	8.440857	0.999991	0.001000	-0.004128	-0.001015	0.999993	-0.003522	0.004124	0.003526	0.999985						
04273														1.161527	-4.831167	8.443052	0.999991	0.001000	-0.004051	-0.001015	0.999992	-0.003746	0.004047	0.003750	0.999985						
04274														1.172089	-4.819993	8.427265	0.999991	0.000970	-0.004056	-0.000987	0.999991	-0.004140	0.004052	0.004144	0.999983						
04275														1.169470	-4.857545	8.445412	0.999991	0.000942	-0.004122	-0.000961	0.999989	-0.004565	0.004118	0.004569	0.999981						
04276														1.175753	-4.820324	8.437435	0.999991	0.000921	-0.004236	-0.000941	0.999988	-0.004809	0.004232	0.004812	0.999979						
04277														1.162168	-4.866998	8.440666	0.999990	0.000929	-0.004387	-0.000951	0.999987	-0.004950	0.004383	0.004954	0.999978						
04278														1.148250	-4.851121	8.432788	0.999989	0.000919	-0.004496	-0.000941	0.999987	-0.004925	0.004491	0.004929	0.999978						
