// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D4CF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
04221														2.519033	-9.772593	0.571452	0.996669	0.081365	-0.005563	-0.081336	0.996673	0.005291	0.005975	-0.004821	0.999971						
04222														2.207522	-9.501761	0.632250	0.996925	0.078181	-0.005227	-0.078159	0.996931	0.004341	0.005550	-0.003919	0.999977						
04223														1.752425	-9.447846	0.638655	0.996993	0.077359	-0.004476	-0.077348	0.997001	0.002416	0.004649	-0.002062	0.999987						
04224														2.056734	-9.560418	0.687709	0.996891	0.078726	-0.003300	-0.078727	0.996896	-0.000245	0.003271	0.000504	0.999995						
04225														2.015437	-9.560765	0.591413	0.996928	0.078284	-0.002653	-0.078290	0.996928	-0.002175	0.002475	0.002376	0.999994						
04226														1.925613	-9.528418	0.535723	0.996867	0.079052	-0.002571	-0.079063	0.996861	-0.004248	0.002227	0.004438	0.999988						
04227														1.987114	-9.459942	0.538360	0.996817	0.079671	-0.002794	-0.079686	0.996802	-0.005987	0.002308	0.006190	0.999978						
04228														2.042484	-9.605874	0.533789	0.996777	0.080159	-0.003319	-0.080181	0.996756	-0.006988	0.002748	0.007231	0.999970						
04229														2.061167	-9.955462	0.633051	0.996682	0.081215	-0.005365	-0.081252	0.996668	-0.007081	0.004772	0.007493	0.999961						
04230														1.752199	-10.233926	1.189389	0.996481	0.083351	-0.008821	-0.083395	0.996505	-0.004708	0.008397	0.005427	0.999950						
04231														1.210732	-9.593738	1.431704	0.995888	0.089831	-0.011705	-0.089856	0.995953	-0.001659	0.011508	0.002704	0.999930						
04232														1.913529	-9.281184	1.152222	0.994945	0.099392	-0.014355	-0.099386	0.995048	0.001113	0.014395	0.000320	0.999896						
04233														2.355939	-9.231987	0.947390	0.994465	0.103570	-0.017675	-0.103469	0.994611	0.006542	0.018257	-0.004677	0.999822						
04234														1.886833	-9.180635	0.692399	0.993801	0.109322	-0.020215	-0.109112	0.993966	0.011234	0.021321	-0.008959	0.999733						
04235														2.505479	-9.383247	0.741810	0.993360	0.112990	-0.021641	-0.112659	0.993505	0.015977	0.023306	-0.013433	0.999638						
04236														1.582754	-9.533563	0.260969	0.992562	0.119596	-0.022747	-0.119158	0.992679	0.019721	0.024939	-0.016864	0.999547						
04237														2.407278	-9.768701	0.232396	0.991310	0.129532	-0.022923	-0.129036	0.991397	0.021951	0.025569	-0.018802	0.999496						
04238														2.137111	-9.634554	0.096711	0.990614	0.134671	-0.023420	-0.134083	0.990652	0.025103	0.026582	-0.021727	0.999411						
04239														1.351510	-9.432430	0.292725	0.989120	0.145109	-0.024168	-0.144490	0.989173	0.025665	0.027631	-0.021894	0.999378						
04240														1.545179	-9.487650	0.424461	0.986047	0.164679	-0.024352	-0.164149	0.986182	0.022368	0.027699	-0.018059	0.999453						
04241														3.020437	-9.601416	0.655915	0.983617	0.178660	-0.024027	-0.178222	0.983801	0.019299	0.027086	-0.014701	0.999525						
04242														2.321260	-9.558269	0.522601	0.983404	0.179768	-0.024474	-0.179327	0.983602	0.019207	0.027526	-0.014499	0.999516						
04243														1.157007	-9.484240	0.514301	0.982622	0.183934	-0.024951	-0.183520	0.982851	0.017999	0.027833	-0.013107	0.999527						
04244														1.964470	-9.630654	0.377105	0.980372	0.195647	-0.024357	-0.195340	0.980629	0.014440	0.026711	-0.009399	0.999599						
04245														2.997543	-9.780046	0.705306	0.980888	0.192984	-0.024830	-0.192655	0.981151	0.015065	0.027269	-0.009993	0.999578						
04246														1.196771	-9.408281	0.617547	0.981804	0.188085	-0.026157	-0.187721	0.982096	0.015742	0.028650	-0.010545	0.999534						
04247														1.427150	-9.472817	0.706425	0.981002	0.192220	-0.026199	-0.191937	0.981322	0.012941	0.028197	-0.007666	0.999573						
04248														2.308208	-9.645174	0.744009	0.980844	0.193040	-0.026102	-0.192817	0.981175	0.010826	0.027701	-0.005585	0.999601						
04249														1.813579	-9.579642	0.646339	0.981297	0.190668	-0.026502	-0.190491	0.981647	0.009063	0.027743	-0.003845	0.999608						
04250														1.575380	-9.690760	0.539793	0.980988	0.192208	-0.026823	-0.192098	0.981353	0.006624	0.027596	-0.001346	0.999618						
04251														1.875841	-9.689684	0.581189	0.980243	0.195931	-0.027095	-0.195899	0.980617	0.003839	0.027322	0.001545	0.999625						
04252														2.040454	-9.694237	0.602809	0.979894	0.197612	-0.027532	-0.197643	0.980273	0.001613	0.027308	0.003861	0.999620						
04253														1.730786	-9.552834	0.617017	0.979360	0.200167	-0.028043	-0.200270	0.979740	-0.000894	0.027296	0.006491	0.999606						
04254														2.013161	-9.552843	0.650708	0.978732	0.203205	-0.028143	-0.203389	0.979090	-0.003814	0.026780	0.009457	0.999597						
04255														2.217166	-9.488579	0.703771	0.978902	0.202409	-0.027951	-0.202648	0.979233	-0.006003	0.026155	0.011541	0.999591						
04256														1.707816	-9.425546	0.654662	0.978854	0.202705	-0.027487	-0.203014	0.979135	-0.008917	0.025106	0.014308	0.999582						
04257														2.134650	-9.662193	0.583579	0.978685	0.203684	-0.026251	-0.204053	0.978883	-0.012242	0.023203	0.017338	0.999580						
04258														2.205922	-9.689804	0.653897	0.979480	0.199970	-0.025105	-0.200358	0.979623	-0.013980	0.021798	0.018724	0.999587						
04259														1.241332	-9.653282	0.420660	0.979333	0.200816	-0.024073	-0.201233	0.979408	-0.016316	0.020301	0.020823	0.999577						
04260														2.093307	-9.590097	0.457401	0.978318	0.205830	-0.022976	-0.206274	0.978311	-0.018954	0.018576	0.023283	0.999556						
04261														2.132490	-9.486825	0.594023	0.978686	0.204109	-0.022637	-0.204555	0.978661	-0.019495	0.018175	0.023710	0.999554						
04262														1.348828	-9.571943	0.533157	0.978698	0.204093	-0.022294	-0.204542	0.978650	-0.020149	0.017706	0.024280	0.999548						
04263														1.891077	-9.614478	0.431844	0.978391	0.205575	-0.022142	-0.206035	0.978319	-0.021012	0.017342	0.025120	0.999534						
04264														1.876156	-9.621937	0.379166	0.978677	0.204141	-0.022760	-0.204606	0.978631	-0.020416	0.018106	0.024638	0.999532						
04265														1.675617	-9.689473	0.336667	0.978516	0.204796	-0.023770	-0.205277	0.978502	-0.019896	0.019184	0.024348	0.999519						
04266														1.952816	-9.689799	0.441051	0.978422	0.205097	-0.025019	-0.205599	0.978442	-0.019496	0.020482	0.024219	0.999497						
04267														1.911334	-9.636557	0.382495	0.978505	0.204549	-0.026230	-0.205077	0.978555	-0.019322	0.021715	0.024286	0.999469						
04268														1.957085	-9.736647	0.208238	0.978594	0.203992	-0.027219	-0.204558	0.978652	-0.019914	0.022575	0.025056	0.999431						
04269														2.231297	-9.696834	0.279578	0.979156	0.201126	-0.028318	-0.201707	0.979254	-0.019373	0.023834	0.024681	0.999411						
04270														1.784139	-9.744747	0.334107	0.979676	0.198455	-0.029153	-0.199038	0.979815	-0.018627	0.024868	0.024051	0.999401						
04271														1.616488	-9.590893	0.407748	0.979601	0.198703	-0.029992	-0.199299	0.979766	-0.018382	0.025732	0.023984	0.999381						
04272														2.323615	-9.602375	0.407891	0.979757	0.197853	-0.030486	-0.198450	0.979947	-0.017922	0.026329	0.023609	0.999374						
04273														1.719039	-9.561131	0.380960	0.980454	0.194267	-0.031140	-0.194820	0.980712	-0.015802	0.027470	0.021560	0.999390						
04274														1.580483	-9.565457	0.562590	0.980451	0.194165	-0.031875	-0.194695	0.980757	-0.014451	0.028455	0.020374	0.999387						
04275														2.339232	-9.538039	0.669331	0.980902	0.191733	-0.032719	-0.192247	0.981256	-0.013330	0.029550	0.019366	0.999376						
04276														1.957631	-9.543485	0.592988	0.982548	0.182880	-0.033971	-0.183317	0.983001	-0.010200	0.031528	0.016249	0.999371						
04277														0.926074	-9.454169	0.445961	0.982751	0.181638	-0.034747	-0.182040	0.983252	-0.008738	0.032578	0.014912	0.999358						
04278														1.611824	-9.384825	0.436154	0.981225	0.189708	-0.034776	-0.190160	0.981700	-0.010175	0.032209	0.016597	0.999343						
04279														2.704957	-9.768839	0.728490	0.980304	0.194426	-0.034690	-0.194907	0.980760	-0.011029	0.031878	0.017573	0.999337						
